feature,weight_l2,delta_action_x,delta_action_y
base_action_x,0.39045155661860365,-0.3892828499629566,0.03018742769115825
base_action_y,0.3258717363001968,0.00946592362367131,-0.32573422419091275
state_vx,0.22854693072605867,-0.22841859611285562,-0.007657969321823652
state_vy,0.21537723077804075,-0.006714482669683744,-0.21527254181640523
base_action_norm,0.19547709206073072,-0.16217609516177506,-0.1091338979355098
state_x,0.1232429460474547,-0.12323838445120415,0.0010603529190949118
state_y,0.11764260271572288,0.0004755074807089592,-0.11764164171910046
target_x,0.08623127571344465,0.08606071058104227,-0.005420978274646266
target_y,0.08480978522631727,-0.005534598889895488,0.08462900144313432
task=pull_ring,0.04463134106374603,-0.04301487228472069,0.011902830229722283
task=rotate_object,0.04310936392043608,-0.018069682863211943,-0.039139542905449735
distance_to_target,0.02463851680639093,0.021762367242104175,0.011552310696938487
bias,0.02435393761681564,0.022037812065665865,0.010365766580535169
task=tool_push,0.022924682825638566,0.022386538121047784,0.004938015148923924
task=constrained_place,0.022032698543559028,0.0009132162460863543,0.02201376481202686
task=slide_track,0.019648695081601594,0.015949625369437167,-0.011475219779348931
task=pick_place_bin,0.01719099100847952,0.00834585099199826,0.01502920300857585
task=push_block,0.012564128927703856,0.01047602096048728,-0.006936160360559435
task=press_button,0.004746334624041183,0.003013303460497925,0.0036671098454127858
step_fraction,0.0041092992168761016,0.003820523386746342,0.0015132551355084849
severity=speed_cap_scale,0.0035557622665098173,0.003196558718989131,0.0015573880865056076
severity=calibration_offset_mm,0.0031522768748646524,0.0021970027744498805,-0.0022605371717505525
weighted_stress,0.002043125261732362,0.001988178268366348,-0.00047064637290084786
severity=gripper_limit_scale,0.0017678922379586806,-0.001713518126973278,-0.0004350845820855308
task_difficulty,0.001381065943844029,-0.0012360320338953884,0.0006160908637775992
severity=acceleration_cap_scale,0.001370821857248457,-0.0013356652236312487,-0.00030846551621242145
severity_l2,0.0012191024444203077,0.0008149783509140203,0.0009066537693811422
severity=joint_range_scale,0.0011600492916773316,-0.0011539984092497763,0.00011833017607552408
robot=so101_urdf,0.0011399265841688549,-0.0006366437086999176,0.0009455778156596569
robot=widowx250_like,0.0010357290015871256,-0.00010162537227302698,-0.0010307312202698785
severity_l1,0.001019758538084151,0.0010124341935581305,0.00012200196600802329
severity=action_noise_std,0.0007625060495080444,-0.00018767036090474825,0.000739050276486144
robot=aloha_single_arm,0.0006368866217479281,0.00020174710610433846,-0.0006040882999529235
policy=bodyshield,0.0005103202862036415,-0.00032509505235657634,-0.0003933700566187537
policy=domain_randomization,0.0004957911478250545,0.0002137158433012539,0.00044736383468460983
robot=ur5e,0.00044222309164677074,0.00016315801242756982,0.0004110239965820891
severity=controller_rate_scale,0.00043687433186669777,8.252833140510757e-05,0.0004290084572120488
robot=xarm6,0.0004135146258616093,0.00021873309156819176,0.00035092760001813447
severity=latency_ms,0.00029154854307811734,-7.280351183933239e-05,0.00028231224138324754
robot_fragility,0.00022573380357290132,-0.0002244659295949295,2.389134836239593e-05
robot=franka_panda,0.0001708725710275026,0.00015463087284834512,-7.270989404274938e-05
policy=nominal,0.000123776640518571,0.00011137921082457713,-5.399377866160093e-05
policy_time_scale,3.7671984276412334e-05,-2.8325618424297636e-05,-2.4836218315261855e-05
policy_base_success,7.950921209283e-06,-2.973932190803786e-06,-7.373796539146386e-06
policy_nominal_penalty,1.2234040133158843e-06,-7.834943931864963e-07,9.396030628104276e-07
severity=camera_shift_px,0.0,0.0,0.0
severity=payload_g,0.0,0.0,0.0
severity=tool_extension_cm,0.0,0.0,0.0
severity=physical_gripper_restriction_mm,0.0,0.0,0.0
severity=obstacle_clearance_cm,0.0,0.0,0.0
severity=joint_lock,0.0,0.0,0.0
severity=friction_surface,0.0,0.0,0.0
