feature,residual_l2,residual_x,residual_y
base_command_y,0.2591679579631874,0.0003333563081762778,-0.25916774357234407
base_command_x,0.24261219978574103,-0.24260739623853647,-0.001526687667493471
qpos_y,0.052530652321318476,0.00900609824109987,0.051752870720133966
qpos_x,0.05252984224785861,0.050535903500799284,0.014335507802056177
qvel_x,0.04527644621861817,0.03793806782864935,-0.024711527504713764
error_y,0.044557158878523156,-0.01106034739837012,-0.04316258938888308
qvel_y,0.04181620878305358,-0.020262592406710668,-0.03657899213957977
error_x,0.04066327939231936,-0.036818631709307756,-0.017259508973090223
base_delta_norm,0.03702410759721548,-0.036391146311081875,-0.006816818432056206
task=planar_reach_right,0.025381765846862237,-0.024540194119130856,0.006481736657742093
task=planar_diagonal_reach,0.022033151390020243,0.0021955341552736696,-0.021923489456484285
previous_command_x,0.018799837944962972,0.018187051487567954,-0.0047607840683465
task=planar_obstacle_reach,0.018129724618174844,0.01782743438942935,0.0032968921458620313
task=planar_reach_left,0.015633168367480927,0.008511713334553861,0.013112844440333464
target_x,0.014025452871491923,0.01371727179151388,-0.0029240011710289404
severity=action_noise_std,0.009831422292350445,-0.0024969157632277247,0.009509062832996224
error_norm,0.009454915666388754,0.00796325417400446,0.005097255459433445
target_y,0.008832489623544984,-0.002054249157263285,0.008590281331243633
severity=latency_ms,0.008483413799475724,0.008453112157936005,-0.0007163829551920121
severity=acceleration_cap_scale,0.006895682521809906,-0.006241902401782944,-0.002930715245159608
severity=speed_cap_scale,0.006895682521809906,-0.006241902401782944,-0.002930715245159607
step_fraction,0.006777543313492058,0.005410128201089188,0.004082353024181076
previous_command_y,0.006496151387218893,-0.0019192872428622318,0.006206151732358164
severity=joint_range_scale,0.004440123268031173,0.004094482974982516,-0.0017175283994421023
policy_time_scale,0.004276596888050053,0.00415540061902761,0.0010109038719207464
bias,0.004110100373293038,0.0039944877601352366,0.0009679837874021198
policy_base_success,0.0037677448912103264,0.0036616414627716753,0.0008878532330024035
severity_l2,0.0031755708731055184,0.0012232963381207777,0.0029304942312272926
severity_l1,0.0027190472621299176,-0.0024331254338501567,0.0012137209880560226
method=nominal,0.0018143289422475571,0.0017659487527954393,0.00041619047703830506
method=domain_randomization,0.0015575641961031055,0.0015215974571454755,0.00033278732456440803
method=bodyshield,0.0007400878172578982,0.0007069415502183861,0.00021900598582775125
task_tolerance,0.00033419502354807464,0.0003030470900736928,-0.00014088568047237906
policy_nominal_penalty,2.2207719673621e-05,2.156713508777461e-05,5.295422287959148e-06
severity=gripper_limit_scale,0.0,0.0,0.0
severity=calibration_offset_mm,0.0,0.0,0.0
severity=camera_shift_px,0.0,0.0,0.0
severity=controller_rate_scale,0.0,0.0,0.0
severity=payload_g,0.0,0.0,0.0
severity=tool_extension_cm,0.0,0.0,0.0
severity=physical_gripper_restriction_mm,0.0,0.0,0.0
severity=obstacle_clearance_cm,0.0,0.0,0.0
severity=joint_lock,0.0,0.0,0.0
severity=friction_surface,0.0,0.0,0.0
