epoch,hidden_units,max_train_samples,feature_count,train_latent_mse,heldout_latent_mse
0,48,12000,55,0.09706733130849172,0.11338941299825477
8,48,12000,55,0.005281419822083813,0.006425528580531173
16,48,12000,55,0.0011459338060414435,0.002360740214539464
24,48,12000,55,0.0032284557980500933,0.003532696842107066
32,48,12000,55,0.0037240761279987004,0.005131064878176905
40,48,12000,55,0.0014320851374903603,0.0014284312329097258
48,48,12000,55,0.0018410292981885074,0.001829431170796541
56,48,12000,55,0.004855739992965391,0.004530945912632965
64,48,12000,55,0.001719183704413156,0.001161501203679219
