artifact,check,status,detail,observed,expected
pack_text_files,text_files_scanned,pass,portable hygiene text scan found files,235,>0
pack_text_files,local_absolute_paths_absent,pass,local absolute path hits=[],0,0
pack_text_files,temporary_extract_paths_absent,pass,temporary extraction marker hits=[],0,0
reports/PAPER_BUILD_LOG.txt,local_paths_redacted,pass,local absolute path hits=[],0,0
reports/ENVIRONMENT_DEPENDENCY_AUDIT.md,local_paths_redacted,pass,local absolute path hits=[],0,0
results/environment_dependency_audit.csv,local_paths_redacted,pass,local absolute path hits=[],0,0
results/environment_snapshot.json,local_paths_redacted,pass,local absolute path hits=[],0,0
release/RELEASE_BUNDLE_MANIFEST.csv,release_manifest_paths_relative_safe,pass,unsafe manifest paths=[],278,>0 rows; no unsafe paths
release/RELEASE_BUNDLE_MANIFEST.csv,pack_side_dynamic_outputs_excluded,pass,pack-side dynamic outputs present=[],0,0
release/bodyshield_non_hardware_release.zip,release_zip_exists_nonempty,pass,release ZIP exists and is nonempty,14080778,>0 bytes
release/bodyshield_non_hardware_release.zip,release_zip_readable,pass,release ZIP opens for hygiene inspection,,
release/bodyshield_non_hardware_release.zip,release_zip_entries_relative_safe,pass,unsafe ZIP entries=[],0,0
release/bodyshield_non_hardware_release.zip,release_zip_text_hygiene,pass,text_entries=244; local_path_hits=[]; temp_hits=[],path_hits=0; temp_hits=0,0
release/bodyshield_non_hardware_release.zip,release_zip_excludes_pack_side_dynamic_outputs,pass,dynamic output entries present=[],0,0
